img_id,dice_coefficient,normalized_mutual_information,normalized_root_mse,dataset,algorithm
0.nii.gz,0.7970399650898994,1.2254048200424776,0.6308863161446164,KNEE,M2
1.nii.gz,0.7713534641697216,1.185598121775781,0.5664787713599789,KNEE,M2
2.nii.gz,0.8009342158803633,1.2030626371840334,0.6084415025815335,KNEE,M2
3.nii.gz,0.6873944382182715,1.1250351656191715,0.9190484996608632,KNEE,M2
4.nii.gz,0.7617360923527767,1.168040600410401,0.657593919778684,KNEE,M2
5.nii.gz,0.6703954329944738,1.1237178251006537,0.8197543793075701,KNEE,M2
6.nii.gz,0.6385776354240894,1.108431824013056,0.8037547018514748,KNEE,M2
7.nii.gz,0.5241906525542959,1.0771757467193082,1.1557746476554982,KNEE,M2
8.nii.gz,0.8589188023628499,1.2322862790666926,0.5512856518733157,KNEE,M2
9.nii.gz,0.768609207092695,1.181509164067505,0.5912908572188298,KNEE,M2
10.nii.gz,0.7831155444494229,1.1746569345777589,0.5420960892720095,KNEE,M2
11.nii.gz,0.7085660371169333,1.1437164030086036,0.6879796000008825,KNEE,M2
12.nii.gz,0.634757209332111,1.121439971037605,0.7839953698189962,KNEE,M2
13.nii.gz,0.7517789560083102,1.1780044015770397,0.6330217025725683,KNEE,M2
14.nii.gz,0.7895023433282086,1.172521666713789,0.4826593300994458,KNEE,M2
15.nii.gz,0.7273579424812429,1.148051337036021,0.6069271670531755,KNEE,M2
0.nii.gz,0.8704286253884989,1.2664953463859323,0.4797746857625437,KNEE,M4
1.nii.gz,0.8337888321049012,1.241715804574896,0.517450132230263,KNEE,M4
2.nii.gz,0.8435987703817016,1.2331925732266995,0.5629350459125085,KNEE,M4
3.nii.gz,0.7131455880327687,1.135480544080936,0.7163310349756185,KNEE,M4
4.nii.gz,0.7576654807209573,1.1934467804969775,0.6658879624822028,KNEE,M4
5.nii.gz,0.6860501252590342,1.117860852595547,0.6958719575146228,KNEE,M4
6.nii.gz,0.6439753087848412,1.1103938619710938,0.7381800058198971,KNEE,M4
7.nii.gz,0.5734765936612087,1.096746173177085,0.9673903466049286,KNEE,M4
8.nii.gz,0.8530927384415185,1.2244926730303485,0.5545438105055176,KNEE,M4
9.nii.gz,0.7932154609414803,1.207239438923123,0.5499037964324464,KNEE,M4
10.nii.gz,0.8105505940346368,1.1869255098800973,0.5410596366186121,KNEE,M4
11.nii.gz,0.790059673483616,1.193102938133091,0.6484318092721558,KNEE,M4
12.nii.gz,0.6983426448321056,1.1478964438692087,0.7553254355553762,KNEE,M4
13.nii.gz,0.8212817135036256,1.2067377019122163,0.5004744636313233,KNEE,M4
14.nii.gz,0.8614086979096611,1.2492575987570378,0.4212853663766902,KNEE,M4
15.nii.gz,0.7923556536762334,1.152900025393684,0.5659860860045076,KNEE,M4
0.nii.gz,0.8527191866970597,1.2682051847079825,0.5204387985221328,KNEE,M6
